code ue;nom;semestre;Categorie;Description
SPUGDE40;Approfondissement hors geographie 2;4;GEOGRAPHIE;pas de description
SPUGDI40;Disciplinaire 6;4;GEOGRAPHIE;pas de description
SPUGDI41;Disciplinaire 7;4;GEOGRAPHIE;pas de description
SPUGDI42;Disciplinaire 8;4;GEOGRAPHIE;pas de description
SPUF43;Introduction aux systemes intelligents;4;INFORMATIQUE;pas de description
SPUF44;Technologies du web;4;INFORMATIQUE;pas de description
SPUF40;Algorithmique 1;4;INFORMATIQUE;pas de description
SPUF41;Reseaux et telecommunication;4;INFORMATIQUE;pas de description
SPUF42;Systemes 2 - mecanismes internes syst. d'expl;4;INFORMATIQUE;pas de description
SPUM44;Methodes - approche aleatoire;4;MATHEMATIQUES;pas de description
SPUM41;Probabilites et introduction aux statistiques;4;MATHEMATIQUES;pas de description
SPUM42;Algebre;4;MATHEMATIQUES;pas de description
SPUM40;Analyse;4;MATHEMATIQUES;pas de description
SPUM43;Resolution numerique des systemes d'equations;4;MATHEMATIQUES;pas de description
SPUC43;Bloc de chimie experimentale;4;CHIMIE;pas de description
SPUC42;Chimie organique fonctionnelle II;4;CHIMIE;pas de description
SPUC41;Materiaux 2;4;CHIMIE;pas de description
SPUC40;Vision macroscopique des molecules;4;CHIMIE;pas de description
SPUE42;Architecture des processeurs;4;ELECTRONIQUE;pas de description
SPUE41;Electronique analogique avancee;4;ELECTRONIQUE;pas de description
SPUE40;Systeme optimise en energie;4;ELECTRONIQUE;pas de description
SPUE43;Systemes embarques II;4;ELECTRONIQUE;pas de description
VPUC1D4;Enseignements fondamentaux a l'ecole primaire 2;4;ENSEIGNEMENT;pas de description
SPUA40;Economie-gestion 4;4;ECONOMIE - GESTION;pas de description
SPUA41;Mathematiques pour la finance;4;ECONOMIE - GESTION;pas de description
SPUP40;Electromagnetisme 2;4;PHYSIQUE;pas de description
SPUP42;Mecanique 3;4;PHYSIQUE;pas de description
SPUP41;Ondes;4;PHYSIQUE;pas de description
SPUP43;Outils et methodes 2;4;PHYSIQUE;pas de description
SPUP44;Outils et methodes 2D;4;PHYSIQUE;pas de description
SPUS44;Management de projet;4;UE PROFESSIONNALISANTE S4;pas de description
SPUT43;Du paysage a la carte;4;SCIENCES DE LA TERRE;pas de description
SPUT41;Formation et evolution bassins sedimentaires;4;SCIENCES DE LA TERRE;pas de description
SPUT40;Geologie structurale et tectonique;4;SCIENCES DE LA TERRE;pas de description
SPUT42;Geomecanique;4;SCIENCES DE LA TERRE;pas de description
VPUG2D4;Methodologie et didactique - Geometrie;4;CLE2D;pas de description
VPUP2D4;Methodologie et didactique Physique Chimie;4;CLE2D;pas de description
KCTSS4;Competences transversales 4;4;COMPETENCES TRANSVERSALES;pas de description
SPUSF400;Fablab S4;4;FABLAB;pas de description
