code ue;nom;semestre;Categorie;Description
SPUGDE10;Decouverte 1;1;GEOGRAPHIE;La première ue découverte de géographie.
SPUGDC10;Decouverte 2;1;GEOGRAPHIE;La deuxième ue découverte de géographie.
SPUGDI10;Disciplinaire 1;1;GEOGRAPHIE;L'ue disciplinaire 1 de géographie.
SPUF10;Bases de l'informatique;1;INFORMATIQUE;Dans cette ue vous apprendrez les bases de l'informatique.
SPUF11;Introduction a l'informatique par le web;1;INFORMATIQUE;Cette ue offre une introduction à l'informatique pour les étudiants.
SPUM11;Fondements 1;1;MATHEMATIQUES;La première ue des fondements mathématiques.
SPUM13;Complements 1;1;MATHEMATIQUES;Cette ue offre des complément sur les mathématiques.
SPUM12;Methodes - approche continue;1;MATHEMATIQUES;Les mathématiques avec une approche continue.
SPUV101;Genetique. evolution. origine vie & biodiversite;1;SCIENCES DE LA VIE;Découverte de l'orginie de la vie, de l'évolution et de la biodiversite d'un point de vue génétique.
SPUV100;Org et mecan. moleculaires - cellules eucaryotes;1;SCIENCES DE LA VIE;Etude des organismes et de la mécanique moléculaires.
SPUC10;Structure microscopique de la matiere;1;CHIMIE;Etude de la structure microscopique de la matiere.
SPUE10;Electronique numerique - Bases;1;ELECTRONIQUE;Cette ue enseigne la base de l'electronique numerique.
SPUA10;Economie-gestion;1;ECONOMIE - GESTION;Première ue d'économie et gestion.
SPUP10;Mecanique 1;1;PHYSIQUE;Première etude de la physique mécanique.
SPUT10;Decouverte des sciences de la terre;1;SCIENCES DE LA TERRE;Cette ue permet de découvrir les sciences de la terre.
SPUS10;Math enjeux 1;1;MATH ENJEUX;Ue obligatoire pour remise à niveaux en mathématiques 1.
KCTTS1;Competences transversales;1;COMPETENCES TRANSVERSALES;Competences transversales du semestre 1.
SPUSF100;Fablab S1;1;FABLAB;Ue facultative Fablab s1.
