code ue;nom;semestre;Categorie;Description
SPUGDE20;Decouverte 3;2;GEOGRAPHIE;La troisième ue découverte de géographie.
SPUGDC20;Decouverte 4;2;GEOGRAPHIE;La quatrième ue découverte de géographie.
SPUGDI20;Disciplinaire 2;2;GEOGRAPHIE;L'ue disciplinaire 2 de géographie.
SPUF21;Programmation imperative;2;INFORMATIQUE;Cette ue enseigne la programmation imperative (en python).
SPUF20;Systeme 1 unix et programmation shell;2;INFORMATIQUE;Apprentissage de la programmation shell et des systèmes UNIX.
SPUM21;Fondements 2;2;MATHEMATIQUES;La deuxième ue des fondements mathématiques.
SPUM23;Complements 2;2;MATHEMATIQUES;Cette ue offre des complément sur les mathématiques.
SPUM22;Methodes Maths-Approche discrete;2;MATHEMATIQUES;Les mathématiques avec une approche discrete.
SPUV201;Diversite du vivant;2;SCIENCES DE LA VIE;Etude de la diversité du vivant.
SPUV200;Physiologie - neurologie - enzymologie;2;SCIENCES DE LA VIE;Etude de la physiologie , de la neurologie et de l'enzymologie.
SPUC20;Reactions et reactivites chimiques;2;CHIMIE;Etude des reactivites et reactions chimique.
SPUC21;Thermodynamique chimique / Options;2;CHIMIE;Etude de la thermodynamique chimique.
SPUE21;Communication sans fil;2;ELECTRONIQUE;Etude de la communication sans fil de composants éléctroniques.
SPUE20;Electronique analogique;2;ELECTRONIQUE;Etude de l'éléctroniques analogique.
SPUA20;Economie-gestion S2;2;ECONOMIE - GESTION;Deuxième ue d'économie et gestion.
SPUP21;Mecanique - complements;2;PHYSIQUE;Deuxième étude de la physique mécanique.
SPUP20;Optique;2;PHYSIQUE;Etude de l'optique.
SPUT22;Atmosphere. ocean. climats;2;SCIENCES DE LA TERRE 1;Etude de l'atmosphere , des océans et des climats 1.
SPUT20;Structure et dynamique de la terre;2;SCIENCES DE LA TERRE;Etude de la structure et de la dynamique de la terre.
SPUS20;Math enjeux 2;2;MATH ENJEUX;Ue obligatoire pour remise à niveaux en mathématiques 2.
KCTTS2;Competences transversales - S2;2;COMPETENCES TRANSVERSALES;Competences transversales du semestre 2.
SPOSF200;Fablab S2;2;FABLAB;Ue facultative Fablab s2.
